"Mapping","Protein.IDs"
"N/A (P01681)","P01681"
"N/A (P11517)","P11517"
"N/A (P20762)","P20762"
"N/A (P20767)","P20767"
"N/A (P81827)","P81827"
"N/A (P81828)","P81828"
"Ncam1","P13596;F1LUV9;A0A0G2K0M8;F1LNY3"
"NEWGENE_2724;Gp5","O08770;G3V9H9"
"NEWGENE_621351;Col1a2","F1LS40;A0A0G2KAN1;P02466;A0A0G2K5E8"
"Nid2","A0A0G2K3C8;W4VSR4;B5DFC9"
"Nme1","Q05982"
"Nme2","P19804"
"Oaf","Q6AYE5"
"Ocrl","R9PXS2;D3ZGS3"
"Orm1","A0A0H2UHF8;P02764"
"Park7","O88767;Q5BKC3"
"Pebp1","P31044"
"Pepd","Q5I0D7"
"Pf4","P06765"
"Pglyrp2","M0R485"
"Pi16","A0A1W2Q6N3;A0A1W2Q642;D3ZGM7"
"Pigr","A0A0G2K5U5;A0A0G2K639;F1M7H2;P15083"
"Pkm;LOC100362738","A0A0G2JVG3;P11980;M0RD14"
"Pla2g2a","P14423"
"Pla2g7","Q5M7T7"
"Plg","Q01177;Q7TP84"
"Pls3;Pls1;Lcp1","A0A0G2K014;F1LPK7;A0A0G2QC04;Q5XI38;Q63598"
"Pltp","E9PSP1"
"Plxdc2","B5DEZ8"
"Plxnb2","D3ZQ57"
"Pmp2;Fabp9;Fabp4","P70623;D3ZFG5;Q5XFV4;A0A0G2K586;P55054"
"Pon1","P55159"
"Pon3","Q68FP2"
"Ppbp","Q99ME0"
"Ppic","Q6AYQ9"
"Prdx1","Q63716;A0A0G2K3Z9"
"Prdx2","P35704;A0A0G2JSH9"
"Prdx4","Q9Z0V5"
"Prdx6","O35244"
"Prg4","F1LRA5"
"Proc","F7FMY6;P31394"
"Pros1","P53813;M0R5R0"
"Proz","G3V8K8"
"Psap","F7EPE0;P10960"
"Psma1","P18420"
"Psma2","P17220"
"Psma3","P18422"
"Psma4","P21670"
"Psma5","P34064;Q6P9V6"
"Psma6","P60901;A0A0G2K0D7"
"Psma7;Psma8","F1M6I7;P48004;A0A0G2K0W9"
"Psmb1","Q6PDW4;P18421"
"Psmb2","P40307"
"Psmb3","P40112;D3Z8J0"
"Psmb4","P34067;G3V8U9"
"Psmb5","P28075;G3V7Q6"
"Psmb7","A0A0G2JUN8;Q9JHW0"
"Psmb9","Q6MGA6;P28077"
"Psme1-ps1;Psme1","A0A0G2JVP9;Q6P9V7;Q63797"
"Psme2","Q63798"
"Ptma","P06302"
"Pvalb","P02625"
"Pygm;Pygb","P53534;G3V8V3;P09812;G3V6Y6"
"Qsox1","Q6IUU3"
"Rap1b;Rap1a","P62836;Q62636"
"Rbp4","P04916"
"RGD1310507","A0A0G2K896;Q6TUG7"
"RGD1311933","F1M171"
"RGD1560402;Pgk1;Pgk2","M0R6Y8;A0A096MJL6;Q5XIV1;P16617"
"RGD1564614","G3V7P5;A0A0G2K975"
"RGD1564855;Ruvbl1","A0A0G2K0H9;P60123"
"Rida","P52759"
"Rnase4","O55004"
"Rnf219","D3ZAB6"
"S100a8","P50115"
"S100a9","P50116;A0A0H2UHJ1"
"Sarg;Cat","P04762;Q499V8"
"Sbsn","F7FEM5"
"Secisbp2l","D4A7V0"
"Selenbp1","F1LRJ9;Q8VIF7"
"Selenop","P25236;A0A0G2JU99"
"Sell","F7EY63;P30836"
"Sema4g","D4A6G2"
"Serpina1","A0A0G2JZ73;A0A0G2JY31;P17475"
"Serpina10","Q62975"
"Serpina11","Q7TPA5"
"Serpina3k","P05545"
"Serpina3m","Q63556;F1LR92"
"Serpina4","Q5M8C3"
"Serpina6","P31211"
"Serpina7","A0A1W2Q6F2;A0A140TAB0;P35577"
"Serpinc1","A0A096MIW4;Q5M7T5"
"Serpind1","A0A0G2K8K3;Q64268"
"Serpinf1","Q80ZA3"
"Serpinf2","F7FHF3"
"Serping1","Q6P734"
"Sh3bgrl3","B2RZ27"
"Siae","A0A0A0MY22;P82450"
"Slc3a2","Q794F9;A0A0H2UHQ0"
"Smpd1","Q5XIA6"
"Smpdl3a","Q641Z7"
"Sod1","P07632"
"Sod3","Q08420"
"Sparcl1","P24054;G3V7X5"
"Spink1l;LOC100911558","P09656;M0R594"
"Spr;RGD1560795","D3ZT59;P18297"
"Stip1","O35814"
"Tagap","D3ZXG5"
